"Pondelok az piato1\n"
"0| 22 41\n"
"1| 6 28 51\n"
"2| 12 34 51\n"
"3| 18 41\n"
"4| 2 24 41\n"
"5| 8 30 51\n"
"6| 14 36 51\n"
"7| 20 41\n"
"8| 4 26 41\n"
"9| 10 32 51\n"
"10| 16 31\n"
"11| 0 22 41\n"
"12| 6 28 51\n"
"13| 12 34 51\n"
"14| 18 41\n"
"15| 2 24 41\n"
"16| 8 30 51\n"
"17| 14 36 51\n"
"18| 20 41\n"
"19| 4 26 41\n"
"20| 10 32 51\n"
"21| 16 31\n"
"22| 0 22 41\n"
"Vikend1\n"
"00| 41\n"
"01| 21\n"
"02| 0 41\n"
"03| 21\n"
"04| 0 41\n"
"05| 21\n"
"06| 0 41\n"
"07| 21\n"
"08| 0 41\n"
"09| 21\n"
"10| 0 41\n"
"11| 21\n"
"12| 0 41\n"
"13| 21\n"
"14| 0 41\n"
"15| 21\n"
"16| 0 41\n"
"17| 21\n"
"18| 0 41\n"
"19| 21\n"
"20| 0 41\n"
"21| 21\n"
"22| 0 41\n"
"23| 21\n-"
